Attribute,url,url_length,has_ip,dot_count,protocol_http,protocol_https,subdomain_count,domain_age,dns_valid,site_accessible,has_iframe,has_obfuscated_script,whois_available,whois_registrar,whois_registration_time,whois_expiration_time,whois_name_server
legit,https://chemicalamterial.ir/amozsh-taamyrat-mobayl-fny-hrfhay-asol-payh-bray-aghlb-mobaylha-dr-ayn-mkalh-bh-asol-payh-bray-taamyrat-mobayl-prdakhth-shdh-ast-kh-fraboy-tryn-mobaylhay-dnya-ra-shaml-myshod-10656bab-f31a-45d8-bd37-67eb719c04f6,239,0,1,0,1,0,None,1,0,0,0,0,,-,-,
legit,https://www.cfzo.ir/ns/ceo/contact,34,0,2,0,1,1,None,1,1,0,0,0,,-,-,
legit,http://chi-besazam.ir/tag/%D8%AA%D8%A8%D8%AF%DB%8C%D9%84%20%D8%B3%D8%B7%D9%84%20%D8%A2%D8%B4%D8%BA%D8%A7%D9%84%20%D9%85%D8%B9%D9%85%D9%88%D9%84%DB%8C%20%D8%A8%D9%87%20%D9%85%DA%A9%D8%A7%D9%86%DB%8C%DA%A9%DB%8C,209,0,1,1,0,0,None,1,0,0,0,0,,-,-,
legit,https://charbaghrasa.ir/%D9%BE%D9%84%D9%85%D8%A8-%DB%B5%DB%B1%DB%B8-%D9%88%D8%A7%D8%AD%D8%AF-%D8%B5%D9%86%D9%81%DB%8C-%D9%85%D8%AA%D8%AE%D9%84%D9%81-%D8%AF%D8%B1-%D8%A8%D8%AE%D8%B4-%D8%A8%D9%87%D8%AF%D8%A7%D8%B4%D8%AA-%D9%88/,225,0,1,0,1,0,None,1,0,0,0,0,,-,-,
legit,https://www.charmsport.ir/category/%D8%B1%D8%A7%D9%86%D8%A7/,60,0,2,0,1,1,None,1,1,0,0,0,,-,-,
legit,https://chamedanshop.ir/category/1/%DA%86%D9%85%D8%AF%D8%A7%D9%86-ivs-%D8%AA%D8%B1%DA%A9%DB%8C%D9%87/,101,0,1,0,1,0,None,1,0,0,0,0,,-,-,
legit,https://chinedecor.ir/smart-home/fars/%D9%82%D9%81%D9%84-%D9%88-%D8%A7%D9%85%D9%86%DB%8C%D8%AA-%D9%87%D9%88%D8%B4%D9%85%D9%86%D8%AF-%D8%B3%D8%A7%D8%AE%D8%AA%D9%85%D8%A7%D9%86-%D8%AF%D8%B1-%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2/attachment/%D9%82%D9%81%D9%84-%D9%88-%D8%A7%D9%85%D9%86%DB%8C%D8%AA-%D9%87%D9%88%D8%B4%D9%85%D9%86%D8%AF-%D8%B3%D8%A7%D8%AE%D8%AA%D9%85%D8%A7%D9%86-%D8%AF%D8%B1-%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2-46/,414,0,1,0,1,0,None,1,1,0,0,0,,-,-,
legit,https://www.chaypareh-ag.ir/,28,0,2,0,1,1,None,1,1,0,0,0,,-,-,
legit,https://chavosh-dental.ir/category/%D8%AF%D9%86%D8%AF%D8%A7%D9%86%D9%BE%D8%B2%D8%B4%DA%A9%DB%8C-%D8%AF%D8%B1-%D8%A8%D8%A7%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C/,152,0,1,0,1,0,None,1,1,0,0,0,,-,-,
legit,http://cheshmandazketab.ir/product/%D8%AA%D8%AD%D9%84%DB%8C%D9%84-%D8%B9%D9%88%D8%A7%D9%85%D9%84-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C-%D8%AA%D8%A7%D8%AB%DB%8C%D8%B1-%DA%AF%D8%B0%D8%A7%D8%B1-%D8%A8%D8%B1-%D9%BE%D8%B0%DB%8C%D8%B1%D8%B4-%D8%AA%D8%AC%D8%A7%D8%B1%D8%AA-%D8%A7%D9%84%DA%A9%D8%AA%D8%B1%D9%88%D9%86%DB%8C%DA%A9-%D8%AF%D8%B1-%D8%B5%D9%86%D8%A7%DB%8C%D8%B9-%DA%A9%D9%88%DA%86%DA%A9-%D9%88-%D9%85%D8%AA%D9%88%D8%B3%D8%B7-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,457,0,1,1,0,0,None,0,1,0,0,0,,-,-,
legit,http://childpsy.ir/%D8%AA%DA%A9%D9%86%DB%8C%DA%A9%D9%87%D8%A7%DB%8C-%DA%AF%D8%B1%D9%81%D8%AA%D9%86-%D9%BE%D9%88%D8%B4%DA%A9-%D8%A7%D8%B2-%D9%81%D8%B1%D8%B2%D9%86%D8%AF/,168,0,1,1,0,0,None,1,0,0,0,0,,-,-,
legit,https://chapshafagh.ir/product/NDIyMzI3=/%D8%AA%D8%B1%D8%A7%DA%A9%D8%AA-%D8%AA%D8%AD%D8%B1%DB%8C%D8%B1-80-%DA%AF%D8%B1%D9%85-B6-%DB%8C%DA%A9-%D8%B1%D9%88-5000-%D8%B9%D8%AF%D8%AF%DB%8C---3-%D8%B1%D9%88%D8%B2-%DA%A9%D8%A7%D8%B1%DB%8C,231,0,1,0,1,0,None,1,1,0,0,0,,-,-,
legit,https://charmsazeh.ir/%D8%B3%D8%A7%D8%AE%D8%AA-%DA%A9%D8%A7%D8%A8%DB%8C%D9%86%D8%AA-%D8%A2%D8%B4%D9%BE%D8%B2%D8%AE%D8%A7%D9%86%D9%87-%D8%A8%D8%A7-%D8%A7%D8%B3%D8%AA%D9%81%D8%A7%D8%AF%D9%87-%D8%A7%D8%B2-%DA%86%D8%B1%D9%85/,221,0,1,0,1,0,None,1,0,0,0,0,,-,-,
legit,https://chibegirim.ir/product/%D9%84%DB%8C%D9%88%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%85%D9%88%D8%AA%DB%8C-%DA%A9%D8%AF-vivo96/,137,0,1,0,1,0,None,1,0,None,None,0,,-,-,
legit,https://chasbsanaye.ir/brand/%D8%A2%D8%B3%DB%8C%D8%A7/,54,0,1,0,1,0,None,1,1,0,0,0,,-,-,
legit,https://chineseautopart.ir/shop/%D9%84%D9%88%D8%A7%D8%B2%D9%85-%DB%8C%D8%AF%DA%A9%DB%8C-%D8%AF%D8%A7%D9%86%DA%AF-%D9%81%D9%86%DA%AF/%D9%82%D8%B7%D8%B9%D8%A7%D8%AA-%DB%8C%D8%AF%DA%A9%DB%8C-%D8%A7%DA%86-%D8%B3%DB%8C-%DA%A9%D8%B1%D8%A7%D8%B3-h30-cross/%D8%A8%D8%B1%D8%A7%DA%A9%D8%AA-%D8%B3%D9%BE%D8%B1-%D8%B9%D9%82%D8%A8-%D8%A7%DA%86-%D8%B3%DB%8C-%DA%A9%D8%B1%D8%A7%D8%B3,368,0,1,0,1,0,None,1,1,0,0,0,,-,-,
legit,https://www.chakrakala.ir/product/665/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D9%87%D8%AF-%D8%A7%D8%B3%D8%AA%D9%86%D8%AF.aspx,117,0,3,0,1,1,None,1,0,None,None,0,,-,-,
legit,https://charghaad.ir/product/%D8%B4%D8%A7%D9%84-%D8%A7%D9%84%DB%8C%D8%A7%D9%81-%D8%B7%D8%A8%DB%8C%D8%B9%DB%8C-%DA%86%D9%87%D8%A7%D8%B1%D8%AE%D9%88%D9%86%D9%87-%D9%85%D8%B2%D9%88%D9%86%DB%8C/,190,0,1,0,1,0,None,0,1,None,None,0,,-,-,
legit,https://www.charmsport.ir/tag/%D8%A8%DB%8C-%D8%A7%D9%85-%D9%88-650i-%DA%A9%D9%88%D9%BE%D9%87-%D8%AF%D8%A7%D8%AE%D9%84/,118,0,2,0,1,1,None,1,1,0,0,0,,-,-,
legit,https://chenco.ir/product/%DA%86%D8%B1%D8%A7%D8%BA-%D8%AF%DB%8C%D9%88%D8%A7%D8%B1%DB%8C-%DA%86%D8%B4%D9%85%D9%87-%D9%86%D9%88%D8%B1-%DA%A9%D8%AF-g642-1w-wt/,156,0,1,0,1,0,None,1,0,1,1,0,,-,-,
